epoch,gpu_mem,lr-SGD,lr-SGD-1,lr-SGD-1-momentum,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy
,,0.00058,0.00058,0.9,0.9,0,,,,,
0,2.2100000381469727,,,,,4,,,0.711669921875,0.711669921875,
0,,,,,,4,0.010494384914636612,0.050131022930145264,,,
,,0.0034799999999999996,0.0034799999999999996,0.9,0.9,5,,,,,
1,2.25,,,,,9,,,0.12188720703125,0.12188720703125,
1,,,,,,9,0.01344741228967905,0.052800580859184265,,,
,,0.0058,0.0058,0.9,0.9,10,,,,,
2,2.25,,,,,14,,,0.0395965576171875,0.0395965576171875,
2,,,,,,14,0.014667179435491562,0.052491769194602966,,,
,,0.0058,0.0058,0.9,0.9,15,,,,,
3,2.25,,,,,19,,,0.0012471675872802734,0.0012471675872802734,
,2.2699999809265137,,,,,0,,,,,
3,,,,,,19,,,,,1.0
3,,,,,,19,0.014130420051515102,0.05193333327770233,,,
,,0.0058,0.0058,0.9,0.9,20,,,,,
4,2.25,,,,,24,,,0.006829261779785156,0.006829261779785156,
4,,,,,,24,0.014417001977562904,0.05205956846475601,,,
,,0.0058,0.0058,0.9,0.9,25,,,,,
5,2.25,,,,,29,,,0.004401683807373047,0.004401683807373047,
5,,,,,,29,0.015068091452121735,0.053222183138132095,,,
,,0.0058,0.0058,0.9,0.9,30,,,,,
6,2.25,,,,,34,,,0.06523895263671875,0.06523895263671875,
6,,,,,,34,0.014495176263153553,0.05267336964607239,,,
,,0.0058,0.0058,0.9,0.9,35,,,,,
7,2.25,,,,,39,,,0.0029773712158203125,0.0029773712158203125,
,2.2699999809265137,,,,,1,,,,,
7,,,,,,39,,,,,1.0
7,,,,,,39,0.014319201000034809,0.05265277251601219,,,
,,0.0058,0.0058,0.9,0.9,40,,,,,
8,2.25,,,,,44,,,0.000423431396484375,0.000423431396484375,
8,,,,,,44,0.0148786511272192,0.05314873158931732,,,
,,0.0058,0.0058,0.9,0.9,45,,,,,
9,2.25,,,,,49,,,1.5914440155029297e-05,1.5914440155029297e-05,
9,,,,,,49,0.014633375220000744,0.052259597927331924,,,
,,0.0058,0.0058,0.9,0.9,50,,,,,
10,2.25,,,,,54,,,0.5059814453125,0.5059814453125,
10,,,,,,54,0.015647349879145622,0.05339745804667473,,,
,,0.0058,0.0058,0.9,0.9,55,,,,,
11,2.25,,,,,59,,,0.00015217065811157227,0.00015217065811157227,
,2.2699999809265137,,,,,2,,,,,
11,,,,,,59,,,,,1.0
11,,,,,,59,0.01680518127977848,0.05499215051531792,,,
,,0.0058,0.0058,0.9,0.9,60,,,,,
12,2.25,,,,,64,,,0.0005030632019042969,0.0005030632019042969,
12,,,,,,64,0.01682521216571331,0.055824875831604004,,,
,,0.0058,0.0058,0.9,0.9,65,,,,,
13,2.25,,,,,69,,,7.95125961303711e-05,7.95125961303711e-05,
13,,,,,,69,0.014928414486348629,0.052919574081897736,,,
,,0.0058,0.0058,0.9,0.9,70,,,,,
